Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,3/11/2022,13:13:51,32.2,T1 KTemp C,51.1,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
2,3/11/2022,13:13:53,32.2,T1 KTemp C,51.3,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
3,3/11/2022,13:13:55,32.4,T1 KTemp C,51.4,T2 KTemp C,22,T3 KTemp C,9999,T4 KTemp C
4,3/11/2022,13:13:57,32.7,T1 KTemp C,51.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
5,3/11/2022,13:13:59,32.9,T1 KTemp C,51.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
6,3/11/2022,13:14:01,33.2,T1 KTemp C,51.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
7,3/11/2022,13:14:03,33.3,T1 KTemp C,52,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
8,3/11/2022,13:14:05,33.5,T1 KTemp C,52.2,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
9,3/11/2022,13:14:07,33.7,T1 KTemp C,52.3,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
10,3/11/2022,13:14:09,33.9,T1 KTemp C,52.4,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
11,3/11/2022,13:14:11,34.1,T1 KTemp C,52.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
12,3/11/2022,13:14:13,34.3,T1 KTemp C,52.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
13,3/11/2022,13:14:15,34.5,T1 KTemp C,52.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
14,3/11/2022,13:14:17,34.6,T1 KTemp C,52.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
15,3/11/2022,13:14:19,34.8,T1 KTemp C,52.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
16,3/11/2022,13:14:21,35,T1 KTemp C,52.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
17,3/11/2022,13:14:23,35.2,T1 KTemp C,53.1,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
18,3/11/2022,13:14:25,35.3,T1 KTemp C,53.1,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
19,3/11/2022,13:14:27,35.5,T1 KTemp C,53.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
20,3/11/2022,13:14:29,35.7,T1 KTemp C,53.2,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
21,3/11/2022,13:14:31,35.8,T1 KTemp C,53.3,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
22,3/11/2022,13:14:33,36,T1 KTemp C,53.4,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
23,3/11/2022,13:14:35,36.1,T1 KTemp C,53.4,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
24,3/11/2022,13:14:37,36.2,T1 KTemp C,53.5,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
25,3/11/2022,13:14:39,36.4,T1 KTemp C,53.5,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
26,3/11/2022,13:14:41,36.5,T1 KTemp C,53.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
27,3/11/2022,13:14:43,36.7,T1 KTemp C,53.6,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
28,3/11/2022,13:14:45,36.8,T1 KTemp C,53.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
29,3/11/2022,13:14:47,36.9,T1 KTemp C,53.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
30,3/11/2022,13:14:49,37.1,T1 KTemp C,53.7,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
31,3/11/2022,13:14:51,37.2,T1 KTemp C,53.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
32,3/11/2022,13:14:53,37.3,T1 KTemp C,53.8,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
33,3/11/2022,13:14:55,37.5,T1 KTemp C,53.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
34,3/11/2022,13:14:57,37.6,T1 KTemp C,53.9,T2 KTemp C,21.9,T3 KTemp C,9999,T4 KTemp C
35,3/11/2022,13:14:59,37.7,T1 KTemp C,53.9,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
36,3/11/2022,13:15:01,37.9,T1 KTemp C,54,T2 KTemp C,21.8,T3 KTemp C,9999,T4 KTemp C
37,3/11/2022,13:15:03,37.9,T1 KTemp C,54,T2 KTemp C,21.7,T3 KTemp C,9999,T4 KTemp C
