"","Channel 1 Last (F)","Channel 1 Ave. (F)","Channel 1 Min. (F)","Channel 1 Max. (F)"
"00:00:00","73.288","73.259","73.235","73.288"
"00:00:01","73.248","73.261","73.248","73.278"
"00:00:02","73.308","73.269","73.248","73.308"
"00:00:03","73.341","73.345","73.321","73.361"
"00:00:04","73.381","73.370","73.358","73.381"
"00:00:05","73.388","73.386","73.382","73.388"
"00:00:06","73.335","73.356","73.335","73.375"
"00:00:07","73.336","73.337","73.329","73.342"
"00:00:08","73.343","73.342","73.336","73.349"
"00:00:09","73.362","73.355","73.346","73.362"
"00:00:10","73.363","73.359","73.349","73.369"
"00:00:11","73.356","73.359","73.350","73.369"
"00:00:12","73.357","73.355","73.337","73.370"
"00:00:13","73.364","73.358","73.350","73.364"
"00:00:14","73.384","73.375","73.364","73.384"
"00:00:15","73.364","73.385","73.364","73.391"
"00:00:16","73.351","73.370","73.351","73.384"
"00:00:17","73.344","73.349","73.344","73.351"
"00:00:18","73.365","73.365","73.345","73.384"
"00:00:19","73.444","73.395","73.368","73.444"
"00:00:20","73.564","73.495","73.448","73.564"
"00:00:21","73.643","73.603","73.567","73.643"
"00:00:22","73.869","73.766","73.666","73.869"
"00:00:23","74.081","73.980","73.885","74.081"
"00:00:24","74.134","74.119","74.091","74.141"
"00:00:25","74.121","74.128","74.114","74.147"
"00:00:26","74.148","74.153","74.134","74.168"
"00:00:27","74.102","74.120","74.102","74.138"
"00:00:28","74.016","74.061","74.016","74.102"
"00:00:29","73.956","73.979","73.956","74.012"
"00:00:30","73.877","73.905","73.877","73.936"
"00:00:31","73.824","73.835","73.818","73.864"
"00:00:32","73.778","73.796","73.778","73.815"
"00:00:33","73.739","73.756","73.739","73.775"
"00:00:34","73.706","73.723","73.706","73.739"
"00:00:35","73.659","73.678","73.659","73.699"
"00:00:36","73.640","73.654","73.640","73.660"
"00:00:37","73.508","73.565","73.508","73.620"
"00:00:38","73.422","73.458","73.422","73.498"
"00:00:39","73.349","73.381","73.349","73.419"
"00:00:40","73.297","73.318","73.297","73.339"
"00:00:41","73.297","73.290","73.283","73.297"
"00:00:42","73.304","73.303","73.297","73.310"
"00:00:43","73.317","73.303","73.297","73.317"
"00:00:44","73.311","73.311","73.304","73.317"
"00:00:45","73.291","73.301","73.291","73.317"
"00:00:46","73.285","73.299","73.285","73.304"
"00:00:47","73.285","73.291","73.285","73.298"
"00:00:48","73.285","73.285","73.278","73.291"
"00:00:49","73.285","73.285","73.272","73.298"
"00:00:50","73.312","73.295","73.272","73.312"
"00:00:51","73.306","73.305","73.299","73.309"
"00:00:52","73.333","73.312","73.299","73.333"
"00:00:53","73.286","73.316","73.286","73.333"
